k,alpha,beta,workers,coherence
11,symmetric,0.31,4,-2.869463561
11,symmetric,0.61,4,-3.122287667
11,symmetric,0.91,4,-3.938613484
11,symmetric,symmetric,4,-2.645485367
11,asymmetric,0.01,4,-2.598486013
11,asymmetric,0.31,4,-3.059524434
11,asymmetric,0.61,4,-2.999506631
11,asymmetric,0.91,4,-4.92699285
11,asymmetric,symmetric,4,-2.578507057
10,0.01,0.01,4,-2.399442747
10,0.01,0.31,4,-2.51932192
10,0.01,0.61,4,-2.598208013
10,0.01,0.91,4,-2.660413325
10,0.01,symmetric,4,-2.464913291
10,0.31,0.01,4,-2.707827385
10,0.31,0.31,4,-2.766363278
10,0.31,0.61,4,-2.784345627
10,0.31,0.91,4,-2.800014001
10,0.31,symmetric,4,-2.747302758
10,0.61,0.01,4,-3.067944729
10,0.61,0.31,4,-2.992241522
10,0.61,0.61,4,-2.976674346
10,0.61,0.91,4,-2.960465282
10,0.61,symmetric,4,-3.064942906
10,0.91,0.01,4,-2.994977374
10,0.91,0.31,4,-2.919190843
10,0.91,0.61,4,-2.892377148
10,0.91,0.91,4,-2.901645453
10,0.91,symmetric,4,-2.897057678
10,symmetric,0.01,4,-2.432337508
10,symmetric,0.31,4,-2.442558891
10,symmetric,0.61,4,-2.652300382
10,symmetric,0.91,4,-2.703688623
10,symmetric,symmetric,4,-2.412243196
10,asymmetric,0.01,4,-2.477461515
10,asymmetric,0.31,4,-2.840976082
10,asymmetric,0.61,4,-2.974097274
10,asymmetric,0.91,4,-4.698530874
10,asymmetric,symmetric,4,-2.588789557
9,0.01,0.01,4,-2.38980181
9,0.01,0.31,4,-2.527603694
9,0.01,0.61,4,-2.556755259
9,0.01,0.91,4,-2.808738459
9,0.01,symmetric,4,-2.428419909
9,0.31,0.01,4,-2.598340835
9,0.31,0.31,4,-2.62218847
9,0.31,0.61,4,-2.707901939
9,0.31,0.91,4,-2.912228398
9,0.31,symmetric,4,-2.620397107
9,0.61,0.01,4,-2.849685574
9,0.61,0.31,4,-2.769072575
9,0.61,0.61,4,-2.777426801
9,0.61,0.91,4,-2.922995867
9,0.61,symmetric,4,-2.840409491
9,0.91,0.01,4,-2.795520923
9,0.91,0.31,4,-2.746805003
9,0.91,0.61,4,-2.762051363
