Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,asymmetric,0.31,0.5555682805719322
75% Corpus,8,asymmetric,0.61,0.5950401982296096
75% Corpus,8,asymmetric,0.9099999999999999,0.4455499832603286
75% Corpus,8,asymmetric,symmetric,0.5147290145192078
75% Corpus,9,0.01,0.01,0.5556536669844279
75% Corpus,9,0.01,0.31,0.5504649993685783
75% Corpus,9,0.01,0.61,0.5066150840101453
75% Corpus,9,0.01,0.9099999999999999,0.43268807941926013
75% Corpus,9,0.01,symmetric,0.5338406649809035
75% Corpus,9,0.31,0.01,0.5883565489510181
75% Corpus,9,0.31,0.31,0.5652400080816886
75% Corpus,9,0.31,0.61,0.552289911471091
75% Corpus,9,0.31,0.9099999999999999,0.5460199029330576
75% Corpus,9,0.31,symmetric,0.5864681507787722
75% Corpus,9,0.61,0.01,0.5566002544895603
75% Corpus,9,0.61,0.31,0.5551636143841712
75% Corpus,9,0.61,0.61,0.48966231951069306
75% Corpus,9,0.61,0.9099999999999999,0.5547496847287063
75% Corpus,9,0.61,symmetric,0.547412817891592
75% Corpus,9,0.9099999999999999,0.01,0.5606456578072707
75% Corpus,9,0.9099999999999999,0.31,0.5643434089144348
75% Corpus,9,0.9099999999999999,0.61,0.5325987630899501
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4880101477047269
75% Corpus,9,0.9099999999999999,symmetric,0.5581846687237408
75% Corpus,9,symmetric,0.01,0.5851228200014282
75% Corpus,9,symmetric,0.31,0.5626157044331211
75% Corpus,9,symmetric,0.61,0.5343487159569349
75% Corpus,9,symmetric,0.9099999999999999,0.4007810037424512
75% Corpus,9,symmetric,symmetric,0.541499616201779
75% Corpus,9,asymmetric,0.01,0.5813688734243194
75% Corpus,9,asymmetric,0.31,0.5517668689755496
75% Corpus,9,asymmetric,0.61,0.5960234469799113
75% Corpus,9,asymmetric,0.9099999999999999,0.426263430715375
75% Corpus,9,asymmetric,symmetric,0.5225213461602272
75% Corpus,10,0.01,0.01,0.5726082645683109
75% Corpus,10,0.01,0.31,0.5461019309756141
75% Corpus,10,0.01,0.61,0.5103953460421515
75% Corpus,10,0.01,0.9099999999999999,0.43040652498180865
75% Corpus,10,0.01,symmetric,0.53435143971609
75% Corpus,10,0.31,0.01,0.5880425188894187
75% Corpus,10,0.31,0.31,0.564078599080754
75% Corpus,10,0.31,0.61,0.5362988331104428
75% Corpus,10,0.31,0.9099999999999999,0.5521805075427263
75% Corpus,10,0.31,symmetric,0.5797506894961573
75% Corpus,10,0.61,0.01,0.5729435458584501
75% Corpus,10,0.61,0.31,0.5680401698089977
75% Corpus,10,0.61,0.61,0.5104981080710351
75% Corpus,10,0.61,0.9099999999999999,0.5597742204600705
75% Corpus,10,0.61,symmetric,0.5612377008002658
75% Corpus,10,0.9099999999999999,0.01,0.5611955870657857
75% Corpus,10,0.9099999999999999,0.31,0.5495539770193634
75% Corpus,10,0.9099999999999999,0.61,0.521846823427972
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5012341779988233
75% Corpus,10,0.9099999999999999,symmetric,0.5522416639841892
75% Corpus,10,symmetric,0.01,0.564931400867979
75% Corpus,10,symmetric,0.31,0.5218367808657199
75% Corpus,10,symmetric,0.61,0.5391189851948404
75% Corpus,10,symmetric,0.9099999999999999,0.47363042169937214
75% Corpus,10,symmetric,symmetric,0.5471131202158337
75% Corpus,10,asymmetric,0.01,0.5762686226399593
75% Corpus,10,asymmetric,0.31,0.546962009102606
75% Corpus,10,asymmetric,0.61,0.5792933375818148
75% Corpus,10,asymmetric,0.9099999999999999,0.444455850086514
75% Corpus,10,asymmetric,symmetric,0.5260397827784009
100% Corpus,2,0.01,0.01,0.5852694845167767
100% Corpus,2,0.01,0.31,0.5530363225445651
100% Corpus,2,0.01,0.61,0.5343529883100514
100% Corpus,2,0.01,0.9099999999999999,0.464875563765908
100% Corpus,2,0.01,symmetric,0.5743802712375844
100% Corpus,2,0.31,0.01,0.5890960821434221
100% Corpus,2,0.31,0.31,0.5798278378023004
100% Corpus,2,0.31,0.61,0.5552008104467501
100% Corpus,2,0.31,0.9099999999999999,0.54842116970074
100% Corpus,2,0.31,symmetric,0.5727667293877217
100% Corpus,2,0.61,0.01,0.5851116041485958
100% Corpus,2,0.61,0.31,0.5684640546104541
100% Corpus,2,0.61,0.61,0.5654134961645034
100% Corpus,2,0.61,0.9099999999999999,0.4892169126226492
100% Corpus,2,0.61,symmetric,0.5892921490663637
100% Corpus,2,0.9099999999999999,0.01,0.5826093432530464
100% Corpus,2,0.9099999999999999,0.31,0.5679674926718102
100% Corpus,2,0.9099999999999999,0.61,0.5507814372571098
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5307997811266509
100% Corpus,2,0.9099999999999999,symmetric,0.5844390423734767
100% Corpus,2,symmetric,0.01,0.5950236761285124
100% Corpus,2,symmetric,0.31,0.5484059580757169
100% Corpus,2,symmetric,0.61,0.5227143966471941
100% Corpus,2,symmetric,0.9099999999999999,0.4755403134652779
100% Corpus,2,symmetric,symmetric,0.576406792809786
100% Corpus,2,asymmetric,0.01,0.5867562843279047
100% Corpus,2,asymmetric,0.31,0.5423165011471135
100% Corpus,2,asymmetric,0.61,0.535326914266598
100% Corpus,2,asymmetric,0.9099999999999999,0.5492181708101238
100% Corpus,2,asymmetric,symmetric,0.5847660496982998
100% Corpus,3,0.01,0.01,0.5756438542913738
100% Corpus,3,0.01,0.31,0.5524780833723786
100% Corpus,3,0.01,0.61,0.5215659061625173
100% Corpus,3,0.01,0.9099999999999999,0.4585775505493552
100% Corpus,3,0.01,symmetric,0.5848812754365235
100% Corpus,3,0.31,0.01,0.5839648147819833
100% Corpus,3,0.31,0.31,0.5890911380675024
100% Corpus,3,0.31,0.61,0.5577677119579165
100% Corpus,3,0.31,0.9099999999999999,0.5348632527158319
100% Corpus,3,0.31,symmetric,0.5847274045895648
100% Corpus,3,0.61,0.01,0.582986767601177
100% Corpus,3,0.61,0.31,0.5658713417546838
100% Corpus,3,0.61,0.61,0.5565769357468191
100% Corpus,3,0.61,0.9099999999999999,0.4831399617171245
100% Corpus,3,0.61,symmetric,0.5674388543065287
100% Corpus,3,0.9099999999999999,0.01,0.5815895824689834
100% Corpus,3,0.9099999999999999,0.31,0.5813128078923118
100% Corpus,3,0.9099999999999999,0.61,0.5642517491468093
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.5223458584954251
100% Corpus,3,0.9099999999999999,symmetric,0.5781797980479509
100% Corpus,3,symmetric,0.01,0.5872383617418053
100% Corpus,3,symmetric,0.31,0.5463184815619697
100% Corpus,3,symmetric,0.61,0.5229865211975088
100% Corpus,3,symmetric,0.9099999999999999,0.4735214302561226
100% Corpus,3,symmetric,symmetric,0.5775952511830048
100% Corpus,3,asymmetric,0.01,0.5916913326205987
100% Corpus,3,asymmetric,0.31,0.5702925630048316
100% Corpus,3,asymmetric,0.61,0.5598701913467672
100% Corpus,3,asymmetric,0.9099999999999999,0.5424714525063061
100% Corpus,3,asymmetric,symmetric,0.589528097838687
100% Corpus,4,0.01,0.01,0.59033258902903
100% Corpus,4,0.01,0.31,0.5576436349936725
100% Corpus,4,0.01,0.61,0.5281949866255553
100% Corpus,4,0.01,0.9099999999999999,0.478802125082549
100% Corpus,4,0.01,symmetric,0.5759540855662579
100% Corpus,4,0.31,0.01,0.5825036940481717
100% Corpus,4,0.31,0.31,0.5908320138607416
100% Corpus,4,0.31,0.61,0.5631512355582713
100% Corpus,4,0.31,0.9099999999999999,0.552923194647349
100% Corpus,4,0.31,symmetric,0.5911821826092425
100% Corpus,4,0.61,0.01,0.586372027903334
100% Corpus,4,0.61,0.31,0.5578376012416262
100% Corpus,4,0.61,0.61,0.5633254169210481
100% Corpus,4,0.61,0.9099999999999999,0.5139631742197339
100% Corpus,4,0.61,symmetric,0.5814848380606712
100% Corpus,4,0.9099999999999999,0.01,0.5784645956131769
100% Corpus,4,0.9099999999999999,0.31,0.5740219041522683
100% Corpus,4,0.9099999999999999,0.61,0.5704014023640818
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.5283643287683724
100% Corpus,4,0.9099999999999999,symmetric,0.582128700588223
100% Corpus,4,symmetric,0.01,0.5872034689442158
100% Corpus,4,symmetric,0.31,0.549079786784265
100% Corpus,4,symmetric,0.61,0.5434602831767253
100% Corpus,4,symmetric,0.9099999999999999,0.4505871187900784
100% Corpus,4,symmetric,symmetric,0.5894014274320901
100% Corpus,4,asymmetric,0.01,0.5985346958620947
100% Corpus,4,asymmetric,0.31,0.5018642855400375
100% Corpus,4,asymmetric,0.61,0.5639836959574419
100% Corpus,4,asymmetric,0.9099999999999999,0.5118603352551359
100% Corpus,4,asymmetric,symmetric,0.6076061864020422
100% Corpus,5,0.01,0.01,0.5789601250583296
100% Corpus,5,0.01,0.31,0.5483290994445714
100% Corpus,5,0.01,0.61,0.5241237228108695
100% Corpus,5,0.01,0.9099999999999999,0.4709948517206297
100% Corpus,5,0.01,symmetric,0.5833415124350585
100% Corpus,5,0.31,0.01,0.5963705765982893
100% Corpus,5,0.31,0.31,0.588146485549346
100% Corpus,5,0.31,0.61,0.5777466450138418
100% Corpus,5,0.31,0.9099999999999999,0.5460983108004461
100% Corpus,5,0.31,symmetric,0.5878691624105951
100% Corpus,5,0.61,0.01,0.5824693842936441
100% Corpus,5,0.61,0.31,0.5670916992041702
100% Corpus,5,0.61,0.61,0.5627580728076303
100% Corpus,5,0.61,0.9099999999999999,0.4821971843928014
100% Corpus,5,0.61,symmetric,0.5724586212078988
100% Corpus,5,0.9099999999999999,0.01,0.5801651856191375
100% Corpus,5,0.9099999999999999,0.31,0.5862994365362132
100% Corpus,5,0.9099999999999999,0.61,0.5601393316638309
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.516184263861017
100% Corpus,5,0.9099999999999999,symmetric,0.5768749077379101
100% Corpus,5,symmetric,0.01,0.5898345827837814
100% Corpus,5,symmetric,0.31,0.5469537448640441
100% Corpus,5,symmetric,0.61,0.5037611444002248
100% Corpus,5,symmetric,0.9099999999999999,0.48134255741619103
100% Corpus,5,symmetric,symmetric,0.5886734410641279
100% Corpus,5,asymmetric,0.01,0.5978112939220515
100% Corpus,5,asymmetric,0.31,0.4999287025116768
100% Corpus,5,asymmetric,0.61,0.5382953783933696
100% Corpus,5,asymmetric,0.9099999999999999,0.5003578991404856
100% Corpus,5,asymmetric,symmetric,0.5960280941112731
100% Corpus,6,0.01,0.01,0.591378030300423
100% Corpus,6,0.01,0.31,0.5503622598067356
100% Corpus,6,0.01,0.61,0.506932508462977
100% Corpus,6,0.01,0.9099999999999999,0.4725083712328225
100% Corpus,6,0.01,symmetric,0.5838624336534652
100% Corpus,6,0.31,0.01,0.5848634446745433
100% Corpus,6,0.31,0.31,0.5941278557444345
100% Corpus,6,0.31,0.61,0.5760086098919012
100% Corpus,6,0.31,0.9099999999999999,0.544465694231102
100% Corpus,6,0.31,symmetric,0.5853086994697275
100% Corpus,6,0.61,0.01,0.5680071875078923
100% Corpus,6,0.61,0.31,0.5815011530298668
100% Corpus,6,0.61,0.61,0.5585794341202561
100% Corpus,6,0.61,0.9099999999999999,0.47562101555723535
100% Corpus,6,0.61,symmetric,0.5825056090020251
100% Corpus,6,0.9099999999999999,0.01,0.5751889807148074
100% Corpus,6,0.9099999999999999,0.31,0.5847960787201385
100% Corpus,6,0.9099999999999999,0.61,0.5522689727211193
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5289368483490023
100% Corpus,6,0.9099999999999999,symmetric,0.5782651481758395
100% Corpus,6,symmetric,0.01,0.583664682358429
100% Corpus,6,symmetric,0.31,0.5429216194663986
100% Corpus,6,symmetric,0.61,0.5291987461392003
100% Corpus,6,symmetric,0.9099999999999999,0.5068118428087319
100% Corpus,6,symmetric,symmetric,0.5881982435597526
100% Corpus,6,asymmetric,0.01,0.5934904696798154
100% Corpus,6,asymmetric,0.31,0.5127991353057636
100% Corpus,6,asymmetric,0.61,0.5700505087900187
100% Corpus,6,asymmetric,0.9099999999999999,0.5282640777900831
100% Corpus,6,asymmetric,symmetric,0.5484992294910855
100% Corpus,7,0.01,0.01,0.5816077889693775
100% Corpus,7,0.01,0.31,0.5565978896140287
100% Corpus,7,0.01,0.61,0.5273533559315894
100% Corpus,7,0.01,0.9099999999999999,0.46605891779319464
100% Corpus,7,0.01,symmetric,0.5792246475254932
100% Corpus,7,0.31,0.01,0.5926074536248336
100% Corpus,7,0.31,0.31,0.5849431338593954
100% Corpus,7,0.31,0.61,0.5634890393640706
100% Corpus,7,0.31,0.9099999999999999,0.5481077283737739
100% Corpus,7,0.31,symmetric,0.5878646256641603
100% Corpus,7,0.61,0.01,0.5734294111736141
100% Corpus,7,0.61,0.31,0.5686564384050726
100% Corpus,7,0.61,0.61,0.5579598742358103
100% Corpus,7,0.61,0.9099999999999999,0.47654655403232055
100% Corpus,7,0.61,symmetric,0.586172069231181
100% Corpus,7,0.9099999999999999,0.01,0.582939675621595
100% Corpus,7,0.9099999999999999,0.31,0.5801352855563442
100% Corpus,7,0.9099999999999999,0.61,0.5617222869344416
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5276717713815878
100% Corpus,7,0.9099999999999999,symmetric,0.5836146775767238
100% Corpus,7,symmetric,0.01,0.5812477702056692
100% Corpus,7,symmetric,0.31,0.5580315727036788
100% Corpus,7,symmetric,0.61,0.5307821742692538
100% Corpus,7,symmetric,0.9099999999999999,0.48364948123363954
100% Corpus,7,symmetric,symmetric,0.5797785495648402
100% Corpus,7,asymmetric,0.01,0.5952847298651788
100% Corpus,7,asymmetric,0.31,0.5695288152771109
100% Corpus,7,asymmetric,0.61,0.5420153779970432
100% Corpus,7,asymmetric,0.9099999999999999,0.5326083536026196
100% Corpus,7,asymmetric,symmetric,0.599997880765003
100% Corpus,8,0.01,0.01,0.5838556811657782
100% Corpus,8,0.01,0.31,0.5517198100270438
100% Corpus,8,0.01,0.61,0.5270243862861318
100% Corpus,8,0.01,0.9099999999999999,0.4621836640083715
100% Corpus,8,0.01,symmetric,0.5858172945118143
100% Corpus,8,0.31,0.01,0.586835094222234
100% Corpus,8,0.31,0.31,0.5862904454297191
100% Corpus,8,0.31,0.61,0.5808412591895488
100% Corpus,8,0.31,0.9099999999999999,0.5291230790948938
100% Corpus,8,0.31,symmetric,0.5893403048247402
100% Corpus,8,0.61,0.01,0.5840998408622503
100% Corpus,8,0.61,0.31,0.5534708123352725
100% Corpus,8,0.61,0.61,0.5594775925154256
100% Corpus,8,0.61,0.9099999999999999,0.47427310510831144
100% Corpus,8,0.61,symmetric,0.5504527807414658
100% Corpus,8,0.9099999999999999,0.01,0.5708458002140422
100% Corpus,8,0.9099999999999999,0.31,0.5880349069645835
100% Corpus,8,0.9099999999999999,0.61,0.5582936846146853
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5280561147569541
100% Corpus,8,0.9099999999999999,symmetric,0.5793991859527978
100% Corpus,8,symmetric,0.01,0.5854881484369402
100% Corpus,8,symmetric,0.31,0.5474756713947359
100% Corpus,8,symmetric,0.61,0.5172649245424561
100% Corpus,8,symmetric,0.9099999999999999,0.4699719786980873
100% Corpus,8,symmetric,symmetric,0.5839021687046052
100% Corpus,8,asymmetric,0.01,0.5849733587223358
100% Corpus,8,asymmetric,0.31,0.49708700380638077
100% Corpus,8,asymmetric,0.61,0.566504094838516
100% Corpus,8,asymmetric,0.9099999999999999,0.46816732354560403
100% Corpus,8,asymmetric,symmetric,0.5817036433988154
100% Corpus,9,0.01,0.01,0.5885142391867471
100% Corpus,9,0.01,0.31,0.5526035097771335
100% Corpus,9,0.01,0.61,0.5103885838126053
100% Corpus,9,0.01,0.9099999999999999,0.4724403422096756
100% Corpus,9,0.01,symmetric,0.5836938159227265
100% Corpus,9,0.31,0.01,0.5809723897784766
100% Corpus,9,0.31,0.31,0.595739635248137
100% Corpus,9,0.31,0.61,0.5703406867996014
100% Corpus,9,0.31,0.9099999999999999,0.5462119261269912
100% Corpus,9,0.31,symmetric,0.5921441947497291
