,job_title,common_job_title, Job_Family
1379,ito support specialist,support specialist, Computer Support Specialist
1381,application developer cobol,application developer, Software/Application Developer
1382,technical specialist csm,technical specialist, Computer Support Specialist
1383,team software engineering,software engineer, Software/Application Developer
1386,software engineer sse,software engineer, Software/Application Developer
1389,software engineering team,software engineer, Software/Application Developer
1392,infra technology support specialist,technology support specialist, Computer Support Specialist
1393,software engineering test,software engineer, Software/Application Developer
1396,epic system analyst,system analyst, Information Technology Analyst
1397,oracle ccb software engineer,software engineer, Software/Application Developer
1400,software engineering team leader,software engineer, Software/Application Developer
1403,oracle sql database administrator,database administrator, Database Administrator
1405,team systems analyst,systems analyst, Information Technology Analyst
1406,idc software engineer,software engineer, Software/Application Developer
1409,app technical support specialist,technical support specialist, Computer Support Specialist
1410,business analyst systems analyst,systems analyst, Information Technology Analyst
1411,programmer analyst level,programmer analyst, Software/Application Developer
1413,software engineering sse,software engineer, Software/Application Developer
1416,seniorsoftware engineer,software engineer, Software/Application Developer
1419,digital front end developer,front end developer, Web Developer
1420,pmo software engineer,software engineer, Software/Application Developer
1423,software developer level,software developer, Software/Application Developer
1424,system analyst team leader,system analyst, Information Technology Analyst
1425,software engineer full time employee,software engineer, Software/Application Developer
1428,programmermumbai,programmer, Software/Application Developer
1429,systems analyst team leader,systems analyst, Information Technology Analyst
1430,system analyst system analyst,system analyst, Information Technology Analyst
1431,banglore software engineer,software engineer, Software/Application Developer
1434,sap technical specialist,technical specialist, Computer Support Specialist
1435,chennai software engineer,software engineer, Software/Application Developer
1438,taleo systems administrator,systems administrator, Computer Support Specialist
1439,gis global information security,information security, Information Security Specialist
1440,web developer jefe equipo,web developer, Web Developer
1442,computer programmer programación,computer programmer, Software/Application Developer
1443,applications engineer devops,applications engineer, Software/Application Developer
1445,systems business analyst oracle,systems analyst, Information Technology Analyst
1446,cpq technical support engineer,technical support engineer, Computer Support Specialist
1447,linux systems analyst,systems analyst, Information Technology Analyst
1448,applications engineer ic5,applications engineer, Software/Application Developer
1450,marketing cloud consultant,cloud consultant, Cloud Computing Engineer
1451,software developer sde3,software developer, Software/Application Developer
1452,principle technical support engineer ebs,technical support engineer, Computer Support Specialist
1453,bde technical support engineet,technical support engineer, Computer Support Specialist
1454,cloud upgrade consultant,cloud consultant, Cloud Computing Engineer
1455,linux system analyst,system analyst, Information Technology Analyst
1456,principle applications engineer,applications engineer, Software/Application Developer
1458,technical support engineer otac,technical support engineer, Computer Support Specialist
1459,oracle dba technical support engineer,technical support engineer, Computer Support Specialist
1460,technical support engineer global,technical support engineer, Computer Support Specialist
1461,oracle hrms technical support engineer,technical support engineer, Computer Support Specialist
1462,oracle postgressql database administrator,database administrator, Database Administrator
1464,400 system analyst,system analyst, Information Technology Analyst
1465,chennai technology analyst,technology analyst, Computer Network Specialist
1466,technology analayst,technology analyst, Computer Network Specialist
1467,sap technology analyst,technology analyst, Computer Network Specialist
1468,technology analyst oracle dba,technology analyst, Computer Network Specialist
1469,system administrator windows,system administrator, Computer Support Specialist
1470,technology analyst full time,technology analyst, Computer Network Specialist
1471,role technology analyst,technology analyst, Computer Network Specialist
1472,front end back end developer,front end developer, Web Developer
1473,team member java developer,java developer, Software/Application Developer
1474,technology analyst dba,technology analyst, Computer Network Specialist
1475,rpa java developer,java developer, Software/Application Developer
1476,technology analyst sap hcm,technology analyst, Computer Network Specialist
1477,system administrator bps,system administrator, Computer Support Specialist
1478,test technology analyst,technology analyst, Computer Network Specialist
1479,technology analyst pune,technology analyst, Computer Network Specialist
1480,maximo system administrator,system administrator, Computer Support Specialist
1481,technology analyst tcs,technology analyst, Computer Network Specialist
1482,india programmer analyst,programmer analyst, Software/Application Developer
1484,module java developer,java developer, Software/Application Developer
1485,oracle ebs application developer,application developer, Software/Application Developer
1486,programmer anaylyst,programmer analyst, Software/Application Developer
1488,job role software engineer,software engineer, Software/Application Developer
1491,technology analyst from11,technology analyst, Computer Network Specialist
1492,angularjs net developer,net developer, Software/Application Developer
1493,drupal web developer,web developer, Web Developer
1495,technology analyts,technology analyst, Computer Network Specialist
1496,database administrator vertica,database administrator, Database Administrator
1498,software quality assurance analyst cisco systems,software quality assurance analyst, Software/Application Developer
1499,java sql developer,java developer, Software/Application Developer
1500,java developer dbms,java developer, Software/Application Developer
1501,bmc bbca systems administrator,systems administrator, Computer Support Specialist
1502,technology analyst unix,technology analyst, Computer Network Specialist
1503,role systems analyst,systems analyst, Information Technology Analyst
1504,india technology analyst,technology analyst, Computer Network Specialist
1505,technology analyst ita,technology analyst, Computer Network Specialist
1506,tcs technology analyst,technology analyst, Computer Network Specialist
1507,ios programmer,programmer, Software/Application Developer
1508,technology analyst team leader,technology analyst, Computer Network Specialist
1509,iphone ipad application developer,application developer, Software/Application Developer
1510,network adminstrator,network administrator, Computer Network Specialist
1511,level application support analyst,application support analyst, Information Technology Analyst
1512,technology systemadministrator,technology systems administrator, Computer Support Specialist
1513,sdet developer,net developer, Software/Application Developer
1514,angular web developer,web developer, Web Developer
1516,technology support specialist level,technology support specialist, Computer Support Specialist
1517,software engineer oracle sql,software engineer, Software/Application Developer
1520,ims technology analyst,technology analyst, Computer Network Specialist
1521,team application developer,application developer, Software/Application Developer
1522,technology analyst ios,technology analyst, Computer Network Specialist
