,job_title,common_job_title, Job_Family
1971,software engineer role,software engineer, Software/Application Developer
1974,nokia network engineer,network engineer, Computer Network Specialist
1976,software engineer oracle,software engineer, Software/Application Developer
1979,linux network administrator,network administrator, Computer Network Specialist
1980,associate sql developer,associate developer, Software/Application Developer
1981,network build engineer,network engineer, Computer Network Specialist
1983,software engineer bpmt tibco,software engineer, Software/Application Developer
1986,technical support engineer field support engineer,technical support engineer, Computer Support Specialist
1987,software developer bpm verse,software developer, Software/Application Developer
1988,technical support specialist globe broadband,technical support specialist, Computer Support Specialist
1989,chief information office cio,chief information officer, Information Technology Leadership
1990,web cloud consultant,cloud consultant, Cloud Computing Engineer
1991,software engineer mahindra satyam,software engineer, Software/Application Developer
1994,team software developer,software developer, Software/Application Developer
1995,visakhapatnam software engineer,software engineer, Software/Application Developer
1998,oracle siebel crm application developer,application developer, Software/Application Developer
1999,obiee system analyst,system analyst, Information Technology Analyst
2000,idms database administrator,database administrator, Database Administrator
2002,team system administrator,system administrator, Computer Support Specialist
2003,technology analyst level,technology analyst, Computer Network Specialist
2004,systems analysis analyst,systems analyst, Information Technology Analyst
2005,nmci help desk technician,help desk technician, Computer Support Specialist
2006,disa goc jrss network engineer,network engineer, Computer Network Specialist
2008,network engineer verizon,network engineer, Computer Network Specialist
2010,web hosting administrator,web administrator, Web Developer
2012,help desk technician alaska airlines,help desk technician, Computer Support Specialist
2013,network engineer citigroup,network engineer, Computer Network Specialist
2015,computer programmer excel vba programmer,computer programmer, Software/Application Developer
2016,staff network engineer,network engineer, Computer Network Specialist
2018,software engineer june,software engineer, Software/Application Developer
2021,public cloud architect,cloud architect, Cloud Computing Engineer
2022,software developer mts2,software developer, Software/Application Developer
2023,firmware engineer software engineer,software engineer, Software/Application Developer
2026,software engineer cgi,software engineer, Software/Application Developer
2029,sasmo technology analyst,technology analyst, Computer Network Specialist
2030,help desk technician siroms,help desk technician, Computer Support Specialist
2031,programmeur analyste,programmer analyst, Software/Application Developer
2033,desktop support specialist burnaby,desktop support specialist, Computer Support Specialist
2034,database administrator oracle9i 10g linux,database administrator, Database Administrator
2036,php programmer,programmer, Software/Application Developer
2037,mars trex software engineer,software engineer, Software/Application Developer
2040,technology audit coordinator,technology coordinator, Computer Network Specialist
2041,logistics technical specialist,technical specialist, Computer Support Specialist
2042,programmer oracle,programmer, Software/Application Developer
2043,information security investigator,information security, Information Security Specialist
2044,customer support specialist watchdog,customer support specialist, Computer Support Specialist
2045,lan network administrator,network administrator, Computer Network Specialist
2046,linux software developer,software developer, Software/Application Developer
2047,oracle sql application developer,application developer, Software/Application Developer
2048,ind technology support specialist gss uam,technology support specialist, Computer Support Specialist
2049,associate marklogic developer,associate developer, Software/Application Developer
2050,crm system administrator,system administrator, Computer Support Specialist
2051,technical specialist technical publishing,technical specialist, Computer Support Specialist
2052,help desk specialist acting team,help desk specialist, Computer Support Specialist
2053,computer programer,computer programmer, Software/Application Developer
2054,database administrator oem,database administrator, Database Administrator
2056,global director technology,director technology, Information Technology Leadership
2057,technical underwriting support specialist,technical support specialist, Computer Support Specialist
2058,technical mail specialist,technical specialist, Computer Support Specialist
2059,devops cloud consultant,cloud consultant, Cloud Computing Engineer
2060,html xml programmer,programmer, Software/Application Developer
2061,software developer dynamics,software developer, Software/Application Developer
2062,software developer devops,software developer, Software/Application Developer
2063,software developer onshore developer,software developer, Software/Application Developer
2064,help desk specialist tier1,help desk specialist, Computer Support Specialist
2065,certified database administrator,database administrator, Database Administrator
2067,lighting applications engineer,applications engineer, Software/Application Developer
2069,oracle applications engineer,applications engineer, Software/Application Developer
2071,etl net developer,net developer, Software/Application Developer
2072,tpf application developer,application developer, Software/Application Developer
2073,ztpf software developer,software developer, Software/Application Developer
2074,system domain designer,system designer, Software/Application Developer
2075,network administrator lll,network administrator, Computer Network Specialist
2076,java sql plsql developer,java developer, Software/Application Developer
2077,system admministrator,system administrator, Computer Support Specialist
2078,techsupport specialist,support specialist, Computer Support Specialist
2080,customer support specialist post sales,customer support specialist, Computer Support Specialist
2081,global web developer,web developer, Web Developer
2083,technical support engineer sme,technical support engineer, Computer Support Specialist
2084,technology coordinator tier,technology coordinator, Computer Network Specialist
2085,online support specialist,support specialist, Computer Support Specialist
2087,software developer edi,software developer, Software/Application Developer
2088,digital technical specialist,technical specialist, Computer Support Specialist
2089,diagnostic support specialist,support specialist, Computer Support Specialist
2091,gaming support specialist,support specialist, Computer Support Specialist
2093,technical support engineer las vegas,technical support engineer, Computer Support Specialist
2094,xbox technical support specialist,technical support specialist, Computer Support Specialist
2095,claim support specialist,support specialist, Computer Support Specialist
2097,mcafee technical support engineer,technical support engineer, Computer Support Specialist
2098,intuit quicken technical support specialist,technical support specialist, Computer Support Specialist
2099,customer support specialist turbo tax,customer support specialist, Computer Support Specialist
2100,ufo technical support specialist,technical support specialist, Computer Support Specialist
2101,smartphone technical support specialist,technical support specialist, Computer Support Specialist
2102,inbound technical support specialist,technical support specialist, Computer Support Specialist
2103,audio support specialist,support specialist, Computer Support Specialist
2105,css customer support specialist,customer support specialist, Computer Support Specialist
2106,shift support specialist,support specialist, Computer Support Specialist
2108,windows linux system administrator,system administrator, Computer Support Specialist
2109,web developer sme,web developer, Web Developer
2111,delv software engineer,software engineer, Software/Application Developer
2114,software enginee,software engineer, Software/Application Developer
2117,technical support engineer hgs,technical support engineer, Computer Support Specialist
2118,tsm system administrator,system administrator, Computer Support Specialist
2119,company technical support engineer,technical support engineer, Computer Support Specialist
2120,month technical support engineer,technical support engineer, Computer Support Specialist
2121,network engineer gnoc,network engineer, Computer Network Specialist
2123,software engineer mphasis,software engineer, Software/Application Developer
2126,technical support enginier,technical support engineer, Computer Support Specialist
2127,vertical technical support engineer,technical support engineer, Computer Support Specialist
2128,customer support benefit specialist biologics,customer support specialist, Computer Support Specialist
2129,edi programmer analyst,programmer analyst, Software/Application Developer
2131,sql database administrator dba,database administrator, Database Administrator
2133,pathology coordinator,technology coordinator, Computer Network Specialist
2134,oracle apps r12 database administrator,database administrator, Database Administrator
2136,oracle sql web developer,web developer, Web Developer
2138,online customer support specialist,customer support specialist, Computer Support Specialist
2139,apps programmer analyst,programmer analyst, Software/Application Developer
2141,loan support specialist,support specialist, Computer Support Specialist
2143,banking support specialist,support specialist, Computer Support Specialist
2145,technical support engineer tier2,technical support engineer, Computer Support Specialist
2146,system analyst wholesale,system analyst, Information Technology Analyst
2147,technology coordinator bsc5,technology coordinator, Computer Network Specialist
2148,group technology manager,technology manager, Information Technology Leadership
2149,systems analyst level,systems analyst, Information Technology Analyst
2150,system application support analyst,application support analyst, Information Technology Analyst
2151,j2ee web developer,web developer, Web Developer
2153,sas applications engineer,applications engineer, Software/Application Developer
2155,front end developer developer,front end developer, Web Developer
2156,credit support specialist lll,support specialist, Computer Support Specialist
2158,agile application developer,application developer, Software/Application Developer
2159,softwtware engineer,software engineer, Software/Application Developer
2162,tax systems analyst,systems analyst, Information Technology Analyst
2163,mortgage banking customer support specialist,customer support specialist, Computer Support Specialist
2164,trade support specialist,support specialist, Computer Support Specialist
2166,software developer full time,software developer, Software/Application Developer
2167,hadoop application developer,application developer, Software/Application Developer
2168,technology analyst ops,technology analyst, Computer Network Specialist
2169,software developer gwm,software developer, Software/Application Developer
2170,customer support specialist full time,customer support specialist, Computer Support Specialist
2171,technical support specailist,technical support specialist, Computer Support Specialist
2172,software developer etl developer,software developer, Software/Application Developer
2173,application monitoring support analyst,application support analyst, Information Technology Analyst
2174,customer loan support specialist,customer support specialist, Computer Support Specialist
2175,team leader application developer,application developer, Software/Application Developer
2176,small business banking technology analyst,technology analyst, Computer Network Specialist
2177,cob technology analyst,technology analyst, Computer Network Specialist
2178,database administrator citi,database administrator, Database Administrator
2180,avp application support analyst equites,application support analyst, Information Technology Analyst
2181,tpf programmer,programmer, Software/Application Developer
2182,network administrador,network administrator, Computer Network Specialist
2183,software developer citi trade,software developer, Software/Application Developer
2184,oracle system administrator,system administrator, Computer Support Specialist
2185,customer support specialist citi gold,customer support specialist, Computer Support Specialist
2186,programmer analyst avp,programmer analyst, Software/Application Developer
2188,application developer avp,application developer, Software/Application Developer
2189,doc support specialist,support specialist, Computer Support Specialist
2191,software developer dwh,software developer, Software/Application Developer
2192,java etl tool developer,java developer, Software/Application Developer
2193,office chief technology officer,chief technology officer, Information Technology Leadership
2194,avp technical specialist,technical specialist, Computer Support Specialist
2195,online banking technical support specialist gcs,technical support specialist, Computer Support Specialist
2196,systems analyst full time,systems analyst, Information Technology Analyst
2197,mft network engineer,network engineer, Computer Network Specialist
2199,network engineer gns,network engineer, Computer Network Specialist
2201,principle systems analyst,systems analyst, Information Technology Analyst
2202,systems analyst bpm xtrac,systems analyst, Information Technology Analyst
2203,customer support specialist 401 pension,customer support specialist, Computer Support Specialist
2204,software engineer eucc,software engineer, Software/Application Developer
2207,intern application developer,application developer, Software/Application Developer
2208,business banking support specialist,support specialist, Computer Support Specialist
2210,application developer banking domain,application developer, Software/Application Developer
2211,regional desktop support manager,desktop support manager, Computer Support Specialist
2212,java j2ee fullstack developer,java developer, Software/Application Developer
2213,payback network administrator,network administrator, Computer Network Specialist
2214,chief technology officer payback,chief technology officer, Information Technology Leadership
2215,full time employee database administrator,database administrator, Database Administrator
2217,oracle mysql database administrator,database administrator, Database Administrator
2219,director technologies,director technology, Information Technology Leadership
2220,programmer analyst gcst,programmer analyst, Software/Application Developer
2222,technology support manager exempt,technology support manager, Computer Support Specialist
2223,staff web developer ebt,web developer, Web Developer
2225,system analyst lsa,system analyst, Information Technology Analyst
2226,benefits portal technology support specialist,technology support specialist, Computer Support Specialist
2227,hro systems analyst,systems analyst, Information Technology Analyst
2228,benefit support specialist,support specialist, Computer Support Specialist
2230,application developer chicago,application developer, Software/Application Developer
2231,benefit support specialist june,support specialist, Computer Support Specialist
2233,programmer analyst exp,programmer analyst, Software/Application Developer
2235,review support specialist,support specialist, Computer Support Specialist
2237,system analyst full time,system analyst, Information Technology Analyst
2238,eftps web developer,web developer, Web Developer
2240,software developer cdr,software developer, Software/Application Developer
2241,chief technology officer founder,chief technology officer, Information Technology Leadership
2242,software developder,software developer, Software/Application Developer
2243,doc specialist customer support,customer support specialist, Computer Support Specialist
2244,edo system architect,system architect, Software/Application Developer
2246,red hat linux systems administrator,systems administrator, Computer Support Specialist
2247,chief technology officer group,chief technology officer, Information Technology Leadership
2248,associate full stack developer,associate developer, Software/Application Developer
2249,full time software engineer,software engineer, Software/Application Developer
2252,associate developer full time,associate developer, Software/Application Developer
2253,programmer analyst cif,programmer analyst, Software/Application Developer
2255,advanced help desk technician,help desk technician, Computer Support Specialist
2256,technical support specialist as400,technical support specialist, Computer Support Specialist
2257,selling guide support specialist,support specialist, Computer Support Specialist
2259,programmers,programmer, Software/Application Developer
2260,help desk technician intern,help desk technician, Computer Support Specialist
2261,trades help desk specialist,help desk specialist, Computer Support Specialist
2262,software quality assurance advisor,software quality assurance analyst, Software/Application Developer
2263,purchasing systems analyst,systems analyst, Information Technology Analyst
2264,ira support specialist,support specialist, Computer Support Specialist
2266,business technical specialist,technical specialist, Computer Support Specialist
2267,programmer analyst healthcare,programmer analyst, Software/Application Developer
2269,closing support specialist,support specialist, Computer Support Specialist
2271,pega application developer,application developer, Software/Application Developer
2272,chief technology office,chief technology officer, Information Technology Leadership
2273,svp technology manager,technology manager, Information Technology Leadership
2274,analyst bus technology anly,technology analyst, Computer Network Specialist
2275,support staff specialist,support specialist, Computer Support Specialist
2277,team risk aim information security,information security, Information Security Specialist
2278,systems analyst avp,systems analyst, Information Technology Analyst
2279,javascript front end developer,front end developer, Web Developer
2280,database administrator db2 mvs aix,database administrator, Database Administrator
2282,technical triage specialist,technical specialist, Computer Support Specialist
2283,software engineer ccvt,software engineer, Software/Application Developer
2286,customer support specialist loss mitigation,customer support specialist, Computer Support Specialist
2287,avp programmer,programmer, Software/Application Developer
2288,db2luw database administrator,database administrator, Database Administrator
2290,software developer grc,software developer, Software/Application Developer
2291,retail lockbox support specialist,support specialist, Computer Support Specialist
2293,software architekt,software architect, Software/Application Developer
2294,secretary chief technology officer,chief technology officer, Information Technology Leadership
2295,400 software developer,software developer, Software/Application Developer
2296,software engineer hadoop,software engineer, Software/Application Developer
2299,400 systems administrator,systems administrator, Computer Support Specialist
2300,field help desk technician,help desk technician, Computer Support Specialist
2301,atm help desk specialist,help desk specialist, Computer Support Specialist
2302,software developer actuary,software developer, Software/Application Developer
2303,ibm filenet developer,net developer, Software/Application Developer
2304,java developer etl developer,java developer, Software/Application Developer
2305,flex core java developer,java developer, Software/Application Developer
2306,benefit systems administrator,systems administrator, Computer Support Specialist
2307,lockbox support specialist,support specialist, Computer Support Specialist
2309,avp technology manager,technology manager, Information Technology Leadership
2310,application developer application,application developer, Software/Application Developer
2311,trading application support analyst,application support analyst, Information Technology Analyst
2312,applications engineer cvp,applications engineer, Software/Application Developer
2314,business analyst application support analyst,application support analyst, Information Technology Analyst
2315,technology grc analyst,technology analyst, Computer Network Specialist
2316,application devaloper,application developer, Software/Application Developer
2317,broker application support analyst,application support analyst, Information Technology Analyst
2318,impac support specialist,support specialist, Computer Support Specialist
2320,programmer analys,programmer analyst, Software/Application Developer
2322,software developer dba,software developer, Software/Application Developer
2323,benadmin technology coordinator,technology coordinator, Computer Network Specialist
2324,technical support engineer middleware,technical support engineer, Computer Support Specialist
2325,technology analyst sde,technology analyst, Computer Network Specialist
2326,team support specialist band,support specialist, Computer Support Specialist
2328,test tools technology analyst,technology analyst, Computer Network Specialist
2329,team support specialist tss,support specialist, Computer Support Specialist
2331,imac support specialist,support specialist, Computer Support Specialist
2333,business application support analyst sme,application support analyst, Information Technology Analyst
2334,taleo system analyst,system analyst, Information Technology Analyst
2335,group technology coordinator,technology coordinator, Computer Network Specialist
2336,information security auditor,information security, Information Security Specialist
2337,staff software architect,software architect, Software/Application Developer
2338,technical advising specialist,technical specialist, Computer Support Specialist
2339,technology manager erp sap,technology manager, Information Technology Leadership
2340,technical specialist corbin csx shop,technical specialist, Computer Support Specialist
2341,sales applications engineer,applications engineer, Software/Application Developer
2343,methods programmer,programmer, Software/Application Developer
2344,scada software engineer,software engineer, Software/Application Developer
2347,help desk technician advisor,help desk technician, Computer Support Specialist
2348,soa bpm systems analyst,systems analyst, Information Technology Analyst
2349,core application developer,application developer, Software/Application Developer
2350,systems administrator cics,systems administrator, Computer Support Specialist
2351,help desk technician temporary,help desk technician, Computer Support Specialist
2352,programmer analysr,programmer analyst, Software/Application Developer
2354,mcsa technology coordinator,technology coordinator, Computer Network Specialist
2355,iphone application developer,application developer, Software/Application Developer
2356,delivery technology manager,technology manager, Information Technology Leadership
2357,regional technology coordinator,technology coordinator, Computer Network Specialist
2358,software quality assurance analyst engineer,software quality assurance analyst, Software/Application Developer
2359,portland oregon application support analyst,application support analyst, Information Technology Analyst
2360,technical specialist teacher,technical specialist, Computer Support Specialist
2361,technical support specialist tsspec,technical support specialist, Computer Support Specialist
2362,software engineering fellow,software engineer, Software/Application Developer
2365,software engineering student,software engineer, Software/Application Developer
2368,computer information systems managers,computer information systems manager, Computer Network Specialist
2369,aircrew life support specialist,support specialist, Computer Support Specialist
2371,network engineer cyberdefenses,network engineer, Computer Network Specialist
2373,software engineer hill,software engineer, Software/Application Developer
2376,aircraft support specialist,support specialist, Computer Support Specialist
2378,computer programmer journeyman,computer programmer, Software/Application Developer
2379,adjunct chief technology officer c3i peo,chief technology officer, Information Technology Leadership
2380,network eingineer,network engineer, Computer Network Specialist
2382,computer programmer awacs,computer programmer, Software/Application Developer
2383,digital life billing support specialist,support specialist, Computer Support Specialist
2385,support fleet specialist,support specialist, Computer Support Specialist
2387,ucmdb systems analyst,systems analyst, Information Technology Analyst
2388,uhg software engineer,software engineer, Software/Application Developer
2391,itsm application developer,application developer, Software/Application Developer
2392,application developer ogs,application developer, Software/Application Developer
2393,medicare help desk specialist,help desk specialist, Computer Support Specialist
2394,telecommunications specialist csr,telecommunications specialist, Computer Network Specialist
2395,lpn help desk specialist,help desk specialist, Computer Support Specialist
2396,system analyst business analyst,system analyst, Information Technology Analyst
2397,business programmer analyst,programmer analyst, Software/Application Developer
2399,lab lab support specialist,support specialist, Computer Support Specialist
2401,imaging support specialist,support specialist, Computer Support Specialist
2403,software vcp engineer,software engineer, Software/Application Developer
2406,ilinq software engineer,software engineer, Software/Application Developer
2409,team java atg developer,java developer, Software/Application Developer
2410,zone technical specialist,technical specialist, Computer Support Specialist
2411,sfdc web developer,web developer, Web Developer
2413,gcx software engineering,software engineer, Software/Application Developer
2416,network engineer yash,network engineer, Computer Network Specialist
2418,desktop support specialist team,desktop support specialist, Computer Support Specialist
2419,j2ee programmer analyst,programmer analyst, Software/Application Developer
2421,analyst front end developer,front end developer, Web Developer
2422,as400 programmer analyst,programmer analyst, Software/Application Developer
2424,technology support specialist tier1,technology support specialist, Computer Support Specialist
2425,support specialist liaison,support specialist, Computer Support Specialist
2427,lab support specialist,support specialist, Computer Support Specialist
2429,reviewing technical specialist,technical specialist, Computer Support Specialist
2430,help desk specialist stage,help desk specialist, Computer Support Specialist
2431,java developer healthcare,java developer, Software/Application Developer
2432,java flex developer,java developer, Software/Application Developer
2433,imag support specialist,support specialist, Computer Support Specialist
2435,imaging systems administrator,systems administrator, Computer Support Specialist
2436,director technology acting,director technology, Information Technology Leadership
2437,ibm systems administrator,systems administrator, Computer Support Specialist
2438,itd support specialist,support specialist, Computer Support Specialist
2440,director technology pmo,director technology, Information Technology Leadership
2441,technology analyst brec,technology analyst, Computer Network Specialist
2442,surgery technology coordinator,technology coordinator, Computer Network Specialist
2443,rave programmer,programmer, Software/Application Developer
2444,programmer cdp,programmer, Software/Application Developer
2445,intern technology coordinator,technology coordinator, Computer Network Specialist
2446,universal help desk specialist,help desk specialist, Computer Support Specialist
2447,chief information officer west region,chief information officer, Information Technology Leadership
2448,ehr application support analyst,application support analyst, Information Technology Analyst
2449,java fullstack developer,java developer, Software/Application Developer
2450,bpm system architect,system architect, Software/Application Developer
2452,programmer analyst staff,programmer analyst, Software/Application Developer
2454,technical support training specialist,technical support specialist, Computer Support Specialist
2455,phone support specialist,support specialist, Computer Support Specialist
2457,programmer analysat,programmer analyst, Software/Application Developer
2459,care360 technology manager,technology manager, Information Technology Leadership
2460,application developer dragon expert,application developer, Software/Application Developer
2461,edi programmer,programmer, Software/Application Developer
2462,iam systems administrator,systems administrator, Computer Support Specialist
2463,tier application support analyst,application support analyst, Information Technology Analyst
2464,database admininstrator,database administrator, Database Administrator
2466,epic support specialist,support specialist, Computer Support Specialist
2468,customer system support specialist,customer support specialist, Computer Support Specialist
2469,regional chief information officer,chief information officer, Information Technology Leadership
2470,radiology coordinator,technology coordinator, Computer Network Specialist
2471,systems analyst epic,systems analyst, Information Technology Analyst
2472,desktop support specialist imac,desktop support specialist, Computer Support Specialist
2473,epic systems analyst,systems analyst, Information Technology Analyst
2474,diagnostic imaging technical specialist,technical specialist, Computer Support Specialist
2475,mailroom specialist support,support specialist, Computer Support Specialist
2477,technology field technology analyst,technology analyst, Computer Network Specialist
2478,400 programmer analyst,programmer analyst, Software/Application Developer
2480,cmc support specialist,support specialist, Computer Support Specialist
2482,support specialist clerk,support specialist, Computer Support Specialist
2484,epic live support specialist,support specialist, Computer Support Specialist
2486,systems analyst cvis,systems analyst, Information Technology Analyst
2487,database administrator legal affairs,database administrator, Database Administrator
2489,bhqn network systems administrator,network systems administrator, Computer Network Specialist
2490,programmer analyst dba,programmer analyst, Software/Application Developer
2492,scheduling systems analyst,systems analyst, Information Technology Analyst
2493,testing technology analyst,technology analyst, Computer Network Specialist
