,k,alpha,beta,score
85,10,0.31,0.31,-2.3747088632207616
86,10,0.31,0.61,-2.387439184770381
87,10,0.31,0.9099999999999999,-2.5146470851166436
88,10,0.61,0.01,-2.423773584229911
89,10,0.61,0.31,-2.3900466644322895
90,10,0.61,0.61,-2.4776052540042945
91,10,0.61,0.9099999999999999,-2.516140566590813
92,10,0.9099999999999999,0.01,-2.4216218677457912
93,10,0.9099999999999999,0.31,-2.4020620601023617
94,10,0.9099999999999999,0.61,-2.404591858588837
95,10,0.9099999999999999,0.9099999999999999,-2.4778975007668897
96,9,0.01,0.01,-2.244903966804719
97,9,0.01,0.31,-2.248528086005818
98,9,0.01,0.61,-2.250203941116708
99,9,0.01,0.9099999999999999,-2.4842139516010615
100,9,0.31,0.01,-2.245835749271885
101,9,0.31,0.31,-2.282484578086121
102,9,0.31,0.61,-2.3335812149357675
103,9,0.31,0.9099999999999999,-2.560445483253753
104,9,0.61,0.01,-2.336423273319244
105,9,0.61,0.31,-2.3493582915807965
106,9,0.61,0.61,-2.3833359656426962
107,9,0.61,0.9099999999999999,-2.3686842025735695
108,9,0.9099999999999999,0.01,-2.3616300252984743
109,9,0.9099999999999999,0.31,-2.3842944966767474
110,9,0.9099999999999999,0.61,-2.3947168775118266
111,9,0.9099999999999999,0.9099999999999999,-2.4000214323726965
112,8,0.01,0.01,-2.2450048518375696
113,8,0.01,0.31,-2.2405174612836687
114,8,0.01,0.61,-2.274994814197015
115,8,0.01,0.9099999999999999,-2.414542058032165
116,8,0.31,0.01,-2.2929445469060985
117,8,0.31,0.31,-2.291302835061721
118,8,0.31,0.61,-2.3011135106366387
119,8,0.31,0.9099999999999999,-2.376929362437507
120,8,0.61,0.01,-2.3329068380467426
121,8,0.61,0.31,-2.330392483121533
122,8,0.61,0.61,-2.365481273844086
123,8,0.61,0.9099999999999999,-2.371132105928546
124,8,0.9099999999999999,0.01,-2.4119837673174898
125,8,0.9099999999999999,0.31,-2.338951049100107
126,8,0.9099999999999999,0.61,-2.401040544259914
127,8,0.9099999999999999,0.9099999999999999,-2.365040690793358
128,7,0.01,0.01,-2.1554350815982195
129,7,0.01,0.31,-2.1011027360819576
130,7,0.01,0.61,-2.1042105409237544
131,7,0.01,0.9099999999999999,-2.2102347519781547
132,7,0.31,0.01,-2.2657210474622445
133,7,0.31,0.31,-2.2514133465114634
134,7,0.31,0.61,-2.2567500436189056
135,7,0.31,0.9099999999999999,-2.353932510669256
136,7,0.61,0.01,-2.2611162429834057
137,7,0.61,0.31,-2.3298710223642147
138,7,0.61,0.61,-2.378844743290579
139,7,0.61,0.9099999999999999,-2.362714252119484
140,7,0.9099999999999999,0.01,-2.2943726212910858
141,7,0.9099999999999999,0.31,-2.266211669068499
142,7,0.9099999999999999,0.61,-2.3542680532480733
143,7,0.9099999999999999,0.9099999999999999,-2.3952526280723454
