k,alpha,beta,workers,coherence
11,asymmetric,symmetric,4,0.413761616
10,0.01,0.01,4,0.404821559
10,0.01,0.31,4,0.415508924
10,0.01,0.61,4,0.430827386
10,0.01,0.91,4,0.430517814
10,0.01,symmetric,4,0.409876006
10,0.31,0.01,4,0.404079862
10,0.31,0.31,4,0.412557514
10,0.31,0.61,4,0.417410966
10,0.31,0.91,4,0.418907894
10,0.31,symmetric,4,0.403829537
10,0.61,0.01,4,0.388218114
10,0.61,0.31,4,0.388701731
10,0.61,0.61,4,0.382373636
10,0.61,0.91,4,0.392476997
10,0.61,symmetric,4,0.391975369
10,0.91,0.01,4,0.352009013
10,0.91,0.31,4,0.370224213
10,0.91,0.61,4,0.364800518
10,0.91,0.91,4,0.362104725
10,0.91,symmetric,4,0.355032521
10,symmetric,0.01,4,0.410969136
10,symmetric,0.31,4,0.409562002
10,symmetric,0.61,4,0.424568837
10,symmetric,0.91,4,0.424136895
10,symmetric,symmetric,4,0.413989356
10,asymmetric,0.01,4,0.422821777
10,asymmetric,0.31,4,0.412758967
10,asymmetric,0.61,4,0.427357977
10,asymmetric,0.91,4,0.40445805
10,asymmetric,symmetric,4,0.411201012
9,0.01,0.01,4,0.416979426
9,0.01,0.31,4,0.409770716
9,0.01,0.61,4,0.42769167
9,0.01,0.91,4,0.425113703
9,0.01,symmetric,4,0.410029282
9,0.31,0.01,4,0.393297874
9,0.31,0.31,4,0.409395636
9,0.31,0.61,4,0.411449957
9,0.31,0.91,4,0.405532735
9,0.31,symmetric,4,0.389043754
9,0.61,0.01,4,0.385075678
9,0.61,0.31,4,0.381451426
9,0.61,0.61,4,0.389110943
9,0.61,0.91,4,0.38787495
9,0.61,symmetric,4,0.383607621
9,0.91,0.01,4,0.35348634
9,0.91,0.31,4,0.361520442
9,0.91,0.61,4,0.36317224
9,0.91,0.91,4,0.362848183
9,0.91,symmetric,4,0.361377252
9,symmetric,0.01,4,0.409442214
9,symmetric,0.31,4,0.413342209
9,symmetric,0.61,4,0.422644053
9,symmetric,0.91,4,0.432303076
9,symmetric,symmetric,4,0.421582552
9,asymmetric,0.01,4,0.412044124
9,asymmetric,0.31,4,0.411535768
9,asymmetric,0.61,4,0.411877613
9,asymmetric,0.91,4,0.403281637
9,asymmetric,symmetric,4,0.409939652
8,0.01,0.01,4,0.397568239
8,0.01,0.31,4,0.406871217
8,0.01,0.61,4,0.422275872
8,0.01,0.91,4,0.435494111
8,0.01,symmetric,4,0.406713301
8,0.31,0.01,4,0.384646418
8,0.31,0.31,4,0.40126422
8,0.31,0.61,4,0.41248336
8,0.31,0.91,4,0.422108111
8,0.31,symmetric,4,0.381321173
8,0.61,0.01,4,0.37272678
8,0.61,0.31,4,0.37710516
8,0.61,0.61,4,0.373085408
8,0.61,0.91,4,0.377402274
8,0.61,symmetric,4,0.372171079
8,0.91,0.01,4,0.346292711
8,0.91,0.31,4,0.361138863
8,0.91,0.61,4,0.363791918
8,0.91,0.91,4,0.358487706
8,0.91,symmetric,4,0.344846958
8,symmetric,0.01,4,0.406878619
8,symmetric,0.31,4,0.415090727
8,symmetric,0.61,4,0.446326097
8,symmetric,0.91,4,0.439470981
8,symmetric,symmetric,4,0.422811505
8,asymmetric,0.01,4,0.428137864
8,asymmetric,0.31,4,0.431862229
8,asymmetric,0.61,4,0.456776294
8,asymmetric,0.91,4,0.433917084
8,asymmetric,symmetric,4,0.429976894
7,0.01,0.01,4,0.378054132
7,0.01,0.31,4,0.378199099
7,0.01,0.61,4,0.385344718
7,0.01,0.91,4,0.386262751
7,0.01,symmetric,4,0.377723775
7,0.31,0.01,4,0.390339543
7,0.31,0.31,4,0.375968353
7,0.31,0.61,4,0.381589691
7,0.31,0.91,4,0.393202049
7,0.31,symmetric,4,0.376397457
7,0.61,0.01,4,0.372218945
7,0.61,0.31,4,0.383917259
7,0.61,0.61,4,0.38686092
7,0.61,0.91,4,0.38208692
7,0.61,symmetric,4,0.377748367
7,0.91,0.01,4,0.372875325
7,0.91,0.31,4,0.370204429
7,0.91,0.61,4,0.36703892
7,0.91,0.91,4,0.370204429
7,0.91,symmetric,4,0.375755491
7,symmetric,0.01,4,0.381750376
7,symmetric,0.31,4,0.384776127
7,symmetric,0.61,4,0.388524227
7,symmetric,0.91,4,0.391009452
7,symmetric,symmetric,4,0.378672672
7,asymmetric,0.01,4,0.391580669
7,asymmetric,0.31,4,0.38454461
7,asymmetric,0.61,4,0.401283023
7,asymmetric,0.91,4,0.428021141
7,asymmetric,symmetric,4,0.395325642
6,0.01,0.01,4,0.328303498
6,0.01,0.31,4,0.328684299
6,0.01,0.61,4,0.330420066
6,0.01,0.91,4,0.343257819
6,0.01,symmetric,4,0.329539526
6,0.31,0.01,4,0.341293354
6,0.31,0.31,4,0.348106489
6,0.31,0.61,4,0.349954287
6,0.31,0.91,4,0.347720071
6,0.31,symmetric,4,0.344911623
6,0.61,0.01,4,0.334108693
6,0.61,0.31,4,0.330076049
6,0.61,0.61,4,0.348687398
6,0.61,0.91,4,0.357834768
6,0.61,symmetric,4,0.33390799
6,0.91,0.01,4,0.316303382
6,0.91,0.31,4,0.326012296
6,0.91,0.61,4,0.325264813
6,0.91,0.91,4,0.324374005
6,0.91,symmetric,4,0.322755577
6,symmetric,0.01,4,0.341791861
6,symmetric,0.31,4,0.332620483
6,symmetric,0.61,4,0.341681117
6,symmetric,0.91,4,0.343366564
6,symmetric,symmetric,4,0.33692407
6,asymmetric,0.01,4,0.368118726
6,asymmetric,0.31,4,0.432476387
6,asymmetric,0.61,4,0.440037481
6,asymmetric,0.91,4,0.475331264
6,asymmetric,symmetric,4,0.379428682
